SPAN   NONBLANK LOCATOR  name
7      7      runner/contracts.py:100-106  _fields
7      7      runner/audit.py:155-161  readable_artifacts
7      7      runner/anthropic.py:54-60  _unique
7      7      runner/anthropic.py:322-328  _opener
7      7      runner/anthropic.py:96-102  _exact
7      7      runner/anthropic.py:105-111  _envelope
6      6      src/pheroos_interaction/sequential.py:64-69  joint
6      6      src/pheroos_interaction/sequential.py:561-566  apply_sequential
6      6      src/pheroos_interaction/sequential.py:348-353  _pmul
6      6      src/pheroos_interaction/sequential.py:196-201  _plan_inputs
6      6      src/pheroos_interaction/sequential.py:356-361  _padd
6      6      src/pheroos_interaction/commitment.py:298-303  value
6      6      src/pheroos_interaction/commitment.py:80-85  deadlock_fraction
6      6      src/pheroos_interaction/commitment.py:50-55  _count
6      6      runner/tools.py:335-340  execute
6      6      runner/tools.py:367-372  _fixture_name
6      6      runner/tools.py:391-396  _build_fixture_read
6      6      runner/tools.py:407-412  _build_expected_json
6      6      runner/tools.py:399-404  _build_category_totals
6      6      runner/runtime_policies.py:261-266  select_work
6      6      runner/runtime.py:254-259  _tool_schemas
6      6      runner/runtime.py:765-770  _read
6      6      runner/provider.py:95-100  replay
6      6      runner/orchestration.py:117-122  tasks
6      6      runner/orchestration.py:437-442  decisions
6      6      runner/orchestration.py:36-41  call_identity
6      6      runner/orchestration.py:395-400  accounting
6      6      runner/inspection.py:47-52  _read
6      6      runner/evidence.py:227-232  artifacts
6      6      runner/evidence.py:82-87  _event
6      6      runner/evidence.py:184-189  _current
6      6      runner/driver.py:42-47  replay
6      6      runner/colony.py:51-56  _leaf
6      6      runner/audit.py:43-48  read_only
6      6      runner/audit.py:117-122  call
6      6      runner/anthropic.py:76-81  _string
6      6      runner/anthropic.py:68-73  _read
5      5      src/pheroos_interaction/sequential.py:72-76  corner
5      5      src/pheroos_interaction/sequential.py:474-478  _nodes
5      5      src/pheroos_interaction/inspection.py:96-100  _risk
5      5      runner/worker.py:54-58  _call_status
5      5      runner/tools.py:242-246  fixture_read_schema
5      5      runner/tools.py:264-268  _artifact_digest
5      5      runner/session.py:83-87  visit
5      5      runner/session.py:132-136  _abandon
5      5      runner/runtime_policies.py:199-203  rule
5      5      runner/runtime.py:248-252  _offered
5      5      runner/platform.py:361-365  candidates
5      5      runner/platform.py:386-390  abstain
5      5      runner/platform.py:449-453  _publish
5      5      runner/platform.py:199-203  _claim_received_ready
5      5      runner/platform.py:193-197  _claim_ready
5      5      runner/platform.py:122-126  _budget_row
5      5      runner/orchestration.py:219-223  readable_artifacts
5      5      runner/orchestration.py:539-543  artifact_records
5      5      runner/orchestration.py:227-231  _binding
5      5      runner/inspection.py:213-217  check_current
5      5      runner/inspection.py:125-129  _outcome
5      5      runner/contracts.py:670-674  outcome
5      5      runner/contracts.py:81-85  _count
5      5      runner/audit.py:139-143  work
5      5      runner/audit.py:89-93  task
5      5      runner/audit.py:211-215  check
5      5      runner/anthropic.py:465-469  __init__
4      4      src/pheroos_interaction/sequential.py:39-42  _unit
4      4      src/pheroos_interaction/sequential.py:294-297  _float_up
4      4      src/pheroos_interaction/sequential.py:305-308  _exact_likelihood
4      4      src/pheroos_interaction/sequential.py:33-36  _exact_int
4      4      src/pheroos_interaction/sequential.py:51-54  __post_init__
4      4      src/pheroos_interaction/inspection.py:16-19  _number
4      4      src/pheroos_interaction/inspection.py:90-93  _feasible
4      4      src/pheroos_interaction/commitment.py:44-47  _unit
4      4      src/pheroos_interaction/commitment.py:58-61  _substeps
4      4      src/pheroos_interaction/commitment.py:38-41  _positive
4      4      src/pheroos_interaction/commitment.py:26-29  _number
4      4      src/pheroos_interaction/commitment.py:32-35  _nonnegative
4      4      runner/tools.py:207-210  declarations
4      4      runner/tools.py:202-205  declaration
4      4      runner/tools.py:126-129  declaration
4      4      runner/tools.py:37-40  _text
4      4      runner/tools.py:185-188  _entry
4      4      runner/session.py:178-181  check_current
4      4      runner/session.py:193-196  _prompt_settles
4      4      runner/session.py:19-22  _integer
4      4      runner/session.py:25-28  _id
4      4      runner/session.py:31-34  _duration
4      4      runner/runtime_policies.py:181-184  rule
4      4      runner/runtime_policies.py:114-117  draw
4      4      runner/runtime_policies.py:224-227  __init__
4      4      runner/runtime.py:754-757  run_workflow
4      4      runner/platform.py:31-34  _text
4      4      runner/orchestration.py:334-337  _prompt_settles
4      4      runner/orchestration.py:633-636  _child_id
4      4      runner/evidence.py:199-202  _lease
4      4      runner/evidence.py:168-171  _inspection
4      4      runner/evidence.py:14-17  _control_operation_count
4      4      runner/contracts.py:362-365  policies_spec
4      4      runner/contracts.py:69-72  _text
4      4      runner/contracts.py:88-91  _number
4      4      runner/contracts.py:94-97  _names
4      4      runner/contracts.py:75-78  _name
4      4      runner/colony.py:45-48  _query_depths
4      4      runner/colony.py:59-62  _call_id
4      4      runner/anthropic.py:84-87  _tool_name
4      4      runner/anthropic.py:90-93  _tokens
4      4      runner/anthropic.py:116-119  _system
3      3      src/pheroos_interaction/sequential.py:333-335  parameters
3      3      src/pheroos_interaction/sequential.py:300-302  _float_down
3      3      src/pheroos_interaction/sequential.py:117-119  _argmin_tie
3      3      src/pheroos_interaction/inspection.py:27-29  _text
3      3      src/pheroos_interaction/inspection.py:22-24  _nonnegative
3      3      src/pheroos_interaction/inspection.py:68-70  __post_init__
3      3      src/pheroos_interaction/commitment.py:166-168  iteration_bound
